game_id,team,opponent,player,ip,ha,er,bb,hb,so,bf,hr_a,go,fo,season
4509768,Notre Dame,Clemson,"Laudenslager, Alexis",1.1,4.0,4.0,2.0,0.0,1.0,10.0,1.0,1.0,2.0,2024.0
4509768,Notre Dame,Clemson,"Kastor, Micaela",0.2,5.0,3.0,1.0,0.0,1.0,8.0,0.0,1.0,0.0,2024.0
4509768,Notre Dame,Clemson,"Becker, Shannon",5.0,7.0,3.0,3.0,1.0,4.0,27.0,0.0,5.0,6.0,2024.0
4509769,Seattle U,California Baptist,"Morris, Avari",2.0,1.0,0.0,0.0,0.0,1.0,7.0,0.0,1.0,4.0,2024.0
4509769,Seattle U,California Baptist,"Madrigal, Stefanie",2.0,3.0,1.0,0.0,0.0,0.0,9.0,0.0,4.0,2.0,2024.0
4509769,Seattle U,California Baptist,"Vance, Berkley",3.0,5.0,3.0,0.0,1.0,0.0,14.0,2.0,6.0,2.0,2024.0
4509769,California Baptist,Seattle U,"Hosick, Presley",3.1,5.0,3.0,2.0,0.0,1.0,16.0,1.0,5.0,3.0,2024.0
4509769,California Baptist,Seattle U,"McConnell, Morgan",0.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2024.0
4509769,California Baptist,Seattle U,"Argomaniz, Alyssa",3.0,4.0,2.0,1.0,0.0,1.0,16.0,0.0,5.0,3.0,2024.0
4509770,UConn,Seton Hall,"O'Neil, Meghan",1.1,3.0,2.0,2.0,0.0,1.0,10.0,1.0,1.0,2.0,2024.0
4509770,UConn,Seton Hall,"Kinney, Payton",5.2,2.0,0.0,3.0,1.0,7.0,23.0,0.0,0.0,10.0,2024.0
4509770,Seton Hall,UConn,"Kreuscher, Kyra",4.0,3.0,2.0,1.0,1.0,0.0,17.0,0.0,6.0,6.0,2024.0
4509770,Seton Hall,UConn,"Babik, Sydney",3.0,5.0,0.0,1.0,0.0,1.0,17.0,0.0,5.0,3.0,2024.0
4509771,Boise St.,Nevada,"Caudill, Taylor",2.2,3.0,1.0,1.0,0.0,1.0,12.0,1.0,2.0,5.0,2024.0
